# s1, s2, s3, s4, s5, s6, s7, s8, s9, sMean, LidoSNS1, LidoSNS2, LidoSNS3, LidoSNSmean, LidoSham1, LidoSham2, LidoSham3, LidoShamMean, Hex1, Hex2, Hex3, HexMean, Atr1, Atr2, Atr3, AtrMean
2.030897318907262661e-01,5.043758022490809484e-02,2.294790562738010797e-01,1.237263697963621178e-01,4.512834529390001570e-02,1.472966960265328085e-01,2.595933748183428813e-01,2.030875394875534812e-01,3.691165158269861246e-01,1.812172455154569817e-01,3.179194793088354620e-01,2.636940651373397282e-01,5.519595023568637515e-01,3.778576822676796287e-01,2.683305300045558672e-01,3.347538795932756273e-01,1.745346005414457891e-01,2.592063367130924001e-01,2.001560678793726511e-01,1.869383961313025588e-01,4.241008570784758902e-01,2.703984403630503852e-01,1.742076300894085661e-01,3.933772340810085533e-01,3.500414186884707735e-01,3.058754276196293254e-01
1.970900438497853457e-01,5.011883698437582385e-02,2.726018851119307307e-01,1.300009120081588310e-01,3.813542923804942586e-02,1.551486691301084409e-01,1.771260289408999600e-01,2.076317315727659596e-01,3.951302217132086625e-01,1.803315287276981427e-01,2.811406737695090752e-01,2.543629738666028928e-01,5.377444094183957413e-01,3.577493523515025697e-01,2.454044680138675605e-01,2.908664240055490180e-01,1.833929335265896410e-01,2.398879418486687121e-01,1.791652383558535178e-01,1.669004838688801229e-01,3.936507016985189011e-01,2.465721413077508473e-01,1.811050183207463249e-01,4.935122562320461981e-01,3.618157869490520318e-01,3.454776871672815552e-01
2.253212940470945003e-01,4.667118730310500230e-02,2.955032051822659156e-01,1.330664223415586045e-01,3.712319660344494399e-02,1.644902276931208829e-01,1.766400681590021837e-01,1.670206684133398178e-01,3.290898159354343488e-01,1.749917872975962352e-01,2.869740315545081799e-01,2.281479109986943032e-01,5.624590331259998743e-01,3.591936585597341747e-01,2.257511570024730574e-01,3.229520322126452347e-01,2.689419969872165472e-01,2.725483954007782983e-01,1.653735271998057199e-01,1.631677815565877876e-01,4.283778221595690994e-01,2.523063769719875449e-01,2.269724317324779972e-01,5.372774258228067978e-01,3.753398018854092189e-01,3.798632198135646898e-01
2.963099360367421609e-01,3.841388914354515460e-02,2.541617706218762818e-01,1.041090576773528592e-01,3.704231592278461882e-02,1.578766414433710463e-01,1.919411203709980585e-01,1.919972384718243441e-01,3.689211051886799320e-01,1.823081194307971664e-01,2.468560271442415410e-01,2.532599857104722574e-01,5.780832296201466880e-01,3.593997474916201251e-01,2.371299153486839673e-01,3.729274762375645591e-01,2.779865246543685720e-01,2.960146387468723383e-01,1.383968234754556492e-01,1.442693305508906398e-01,3.803521439227010026e-01,2.210060993163490972e-01,2.584622438351608653e-01,5.564151806590167393e-01,3.407275775452497379e-01,3.852016673464757623e-01
2.878459647831590473e-01,3.116188891866624594e-02,2.021352853018795470e-01,8.508450673172260337e-02,5.035609504135078740e-02,1.473382384570845471e-01,2.753722143188482852e-01,2.105905925410818114e-01,3.470018799302746482e-01,1.818762962248963999e-01,2.229790082202462997e-01,3.405560181023591926e-01,5.418496193866850774e-01,3.684615485697635417e-01,2.174621355547147472e-01,4.327010567069106139e-01,3.366269703845240491e-01,3.289300542153831275e-01,1.546484143581688397e-01,1.355533821497298119e-01,3.738658866167263173e-01,2.213558943748750174e-01,3.028673315961188939e-01,5.657597633764208656e-01,3.826794520158408597e-01,4.171021823294602249e-01
2.232968615079410912e-01,2.410609771538312421e-02,1.307394106390422084e-01,6.421770863588056877e-02,5.260134753673208902e-02,1.431815054920599906e-01,2.432396731716032490e-01,1.669566191168282698e-01,3.474299213510583795e-01,1.550854605740587533e-01,1.958211461631099992e-01,4.135948523875743743e-01,5.877882795227108437e-01,3.990680926911316928e-01,1.825646975126776483e-01,4.801889773758301061e-01,3.491652082018187886e-01,3.373062943634421718e-01,1.541182485885688180e-01,1.090172142443288222e-01,4.041186073876236184e-01,2.224180234068403872e-01,3.587306344831034943e-01,5.678667941846342604e-01,3.514544168316963146e-01,4.260172818331446898e-01
3.004226641237799922e-01,2.386018963088552131e-02,1.017803064560375559e-01,6.044992395365263171e-02,6.223420040866545211e-02,1.445016943749827532e-01,2.610803342859447929e-01,1.894041991311187501e-01,3.380990987408463155e-01,1.646480679006571135e-01,2.076081752562357607e-01,4.950229845842027965e-01,5.704016288662128176e-01,4.243442629022171064e-01,1.833290423207602216e-01,5.022179196274887403e-01,2.565815662562688226e-01,3.140428427348392337e-01,1.380657403632930824e-01,1.136220517065755359e-01,3.883527367364621452e-01,2.133468429354435925e-01,3.596936474150480012e-01,5.062229173996535270e-01,4.123044198741940281e-01,4.260736615629652224e-01
2.875460304497343134e-01,2.626831384390206775e-02,8.597814060645454781e-02,5.704600110228570664e-02,6.150112124925812690e-02,1.458660373602208848e-01,2.475401335529996416e-01,2.067019507295762837e-01,3.196361836273385881e-01,1.597871013913077787e-01,1.699893407115601052e-01,5.432362201753345721e-01,4.909587765856599506e-01,4.013947791575182555e-01,2.356122636975847284e-01,5.563990168177117557e-01,1.913744776718452612e-01,3.277952527290472484e-01,1.351878127649611128e-01,1.052119323397544548e-01,3.400630279191542149e-01,1.934875910079566219e-01,3.051050867652657095e-01,4.196316314463199859e-01,3.469399487352244904e-01,3.572255556489367656e-01
2.864734219999652831e-01,2.768650355421682294e-02,8.996692394946012583e-02,6.869232104587777443e-02,6.488358489340748103e-02,1.297545026908087651e-01,2.481061744047137196e-01,1.897884986178485778e-01,2.536947515314203483e-01,1.510051869653020740e-01,1.914497776914291793e-01,4.701806127453725392e-01,4.608016238199993952e-01,3.741440047522670564e-01,2.136346041339068635e-01,5.882514452485434475e-01,2.134563690285165849e-01,3.384474728036556690e-01,1.180138989142283934e-01,9.872987499029317604e-02,3.942075848989933240e-01,2.036504529345049830e-01,2.796696772908463524e-01,3.269165551754518728e-01,3.662157481972833639e-01,3.242673268878605852e-01
3.353813271729070289e-01,2.768466096482586833e-02,6.725577327996443144e-02,6.171872941121190476e-02,4.482255886484800417e-02,1.368750311782514772e-01,2.007559712014826414e-01,1.927837534693201960e-01,2.122410335036796769e-01,1.421687598940545860e-01,2.373032960980578920e-01,3.891391583058663173e-01,4.838205340591208992e-01,3.700876628210150177e-01,2.243990139577334841e-01,5.083012296509508143e-01,2.650896786785626458e-01,3.325966407624156296e-01,1.165211985888023050e-01,1.073822038427458408e-01,3.774801626158567069e-01,2.004611883491349555e-01,2.221592128697683077e-01,2.750358049293240015e-01,3.092484535618563735e-01,2.688144904536495794e-01
3.510587811775652267e-01,4.728778004421965026e-02,6.964822942696553831e-02,6.523955030067370153e-02,4.262959558001862270e-02,1.156676925610469198e-01,2.470517559133195706e-01,1.974692663940020299e-01,1.815590642749327910e-01,1.464013017414159956e-01,2.667949118362809569e-01,3.535947030492415655e-01,4.333626390852760579e-01,3.512507513235995638e-01,2.375372316822192131e-01,4.844581488888053400e-01,3.802427849250388792e-01,3.674127218320211163e-01,1.188016686609564970e-01,1.206422063811727341e-01,3.149476631818298733e-01,1.847971794079863450e-01,1.355759437802182832e-01,3.544665971884938815e-01,3.464660609537826841e-01,2.788362006408315885e-01
2.482313300272434020e-01,5.935976995600222850e-02,5.953310108658875499e-02,5.491322584619995339e-02,4.127827555040251145e-02,1.283257897441746620e-01,2.606098591271001075e-01,1.859633887871055546e-01,1.180123919065984295e-01,1.284696813368239598e-01,3.253216559777504235e-01,2.978186192598301085e-01,4.585377228202890398e-01,3.605593326859565795e-01,2.627823191793217106e-01,4.473391177849865841e-01,3.940365880927664821e-01,3.680526750190249441e-01,1.288794130680250005e-01,1.454369024442705438e-01,2.850585746230638873e-01,1.864582967117864865e-01,1.255759516971393097e-01,3.153613740592195458e-01,3.376381420220596619e-01,2.595251559261395058e-01
2.527059651892040182e-01,6.158182540935608351e-02,4.023744008051455268e-02,7.287436102170082031e-02,4.423927179758502248e-02,1.195226336376796483e-01,2.894193585658927370e-01,1.900189578711730110e-01,1.227382898745268819e-01,1.325931226052925183e-01,3.406566669367176448e-01,2.718723470496282602e-01,4.965258686076801098e-01,3.696849608646753382e-01,2.554139361483894755e-01,4.290292978572498583e-01,4.009707649038180000e-01,3.618046663031524446e-01,1.475365021897635798e-01,1.738622182474838240e-01,2.802585874215754447e-01,2.005524359529409217e-01,1.555491987263032116e-01,3.148401239854173861e-01,4.442785916950707792e-01,3.048893048022637831e-01
2.115752905194893674e-01,6.798407275549207818e-02,3.524995872322822521e-02,5.582850998941992632e-02,3.959535059655663186e-02,1.504119667741670996e-01,2.605870996995475752e-01,2.251866535800617908e-01,1.471495049229844254e-01,1.326187119512163559e-01,3.403292707654689275e-01,3.026168832286181276e-01,4.942654626554187081e-01,3.790705388831686062e-01,2.734641870955268894e-01,3.824223630442801780e-01,4.059111655533264584e-01,3.539325718977111568e-01,2.000364146119237019e-01,1.911520587475104560e-01,2.489481923793260276e-01,2.133788885795867285e-01,1.959476596571473606e-01,3.567840953714512264e-01,4.526540280080716405e-01,3.351285943455566962e-01
1.956319879150571484e-01,6.808515676956421181e-02,5.261054191500331989e-02,5.336242992983937505e-02,4.109076771562416436e-02,1.389013074203543086e-01,2.278349095618658338e-01,2.212891541317603128e-01,1.450888107934172611e-01,1.270994517947206526e-01,3.013169761417190395e-01,3.049023421766481334e-01,5.051108432232119805e-01,3.704433871805263845e-01,2.729353990071715086e-01,4.227890682904639763e-01,3.423769895770938376e-01,3.460338189582430890e-01,2.418519918481104314e-01,2.240338242955680070e-01,2.322007670712974148e-01,2.326955277383252751e-01,2.178565210939106822e-01,4.221892786634207084e-01,4.483243280006270481e-01,3.627900425859861833e-01
1.856070115564008860e-01,5.960422979954253797e-02,5.599631434620704062e-02,5.348437093268607750e-02,3.526211295388215206e-02,1.383350692158542006e-01,1.665658142964689392e-01,2.005723760601812455e-01,1.758796075309870532e-01,1.190341007435788967e-01,2.799849315116079151e-01,3.166077790254480107e-01,5.115581336422131420e-01,3.693836147264229486e-01,2.987516963681029480e-01,4.493180997930412701e-01,2.687746386262294118e-01,3.389481449291245063e-01,2.556840151936663474e-01,2.317107162529614683e-01,2.836950487344950256e-01,2.570299267270409471e-01,2.022320959193452394e-01,3.246115103634874544e-01,4.622605688999151252e-01,3.297013917275826156e-01
2.464793726971562238e-01,6.495164281628520997e-02,5.838939836867780564e-02,6.039062387671325499e-02,3.437183733681137277e-02,1.773672615404809361e-01,1.921805320282835849e-01,3.028345945442362241e-01,2.042248183252720339e-01,1.490211201704351729e-01,2.117238760841861078e-01,3.267731115641200890e-01,5.238722416500515289e-01,3.541230764327858993e-01,2.436615870951630569e-01,5.268121676636734474e-01,2.641341049400651175e-01,3.448692865663005591e-01,2.445493233180238701e-01,2.706169897489264509e-01,3.033472257333013067e-01,2.728378462667505611e-01,1.713784276761337877e-01,2.912090808288432808e-01,3.737127784201657588e-01,2.787667623083809332e-01
2.846939364820473273e-01,7.317946754590635983e-02,5.869721255514850217e-02,4.274794132471777808e-02,6.903578374434497789e-02,2.290402686127613607e-01,2.011050081811513179e-01,3.118856106111708715e-01,2.115300123282139455e-01,1.646572490428291624e-01,1.986265282287068001e-01,3.260310744102298264e-01,4.832478784514044889e-01,3.359684936967803903e-01,2.105882365631824571e-01,5.007771558953013624e-01,2.978853893992180479e-01,3.364169272859006132e-01,2.588828575630708895e-01,2.840071260923782148e-01,3.184024220287355322e-01,2.870974685613948973e-01,1.963531433505037727e-01,2.767491537760641274e-01,3.419415338607943999e-01,2.716812769957874241e-01
3.142886086335524576e-01,8.148982934158985336e-02,6.023782463272038534e-02,4.942927511344885616e-02,6.688910143017938459e-02,2.350853440850700637e-01,2.206254896733094439e-01,3.352889228958250700e-01,2.520005788693008841e-01,1.794816638527773900e-01,2.109181616562604833e-01,3.466373366380015031e-01,4.895493850876789788e-01,3.490349611273136365e-01,1.925587326951600231e-01,5.200299689045081442e-01,3.250868489165746889e-01,3.458918501720809613e-01,2.140347144120770539e-01,3.109559632401424634e-01,3.074763239464193276e-01,2.774890005328796150e-01,1.640603945398582952e-01,2.109946387123098899e-01,3.427394332738984417e-01,2.392648221753555238e-01
2.952858896564322100e-01,1.022195419306188846e-01,4.597510896118173207e-02,5.530756284682238760e-02,7.175888006813990749e-02,2.698496639246633078e-01,2.435609001950007624e-01,4.242871717245915164e-01,2.517410462912458291e-01,1.955539739554107148e-01,2.418942487643644113e-01,3.439947477284505117e-01,4.585153769331931639e-01,3.481347911420026864e-01,2.309383249983646691e-01,5.942591587157011190e-01,3.079341320236217427e-01,3.777105385792292047e-01,2.150275342731717276e-01,2.543757462470906949e-01,3.055681200723124880e-01,2.583238001975249887e-01,1.759937662707670714e-01,1.513311945121991187e-01,3.666387591970675652e-01,2.313212399933445573e-01
3.666813171823273265e-01,1.145983307142867808e-01,3.453077174078345024e-02,6.267884030836770592e-02,8.239165312794397011e-02,2.724702347375451694e-01,2.871603851768403937e-01,4.941396365129939738e-01,2.974380128567787329e-01,2.235654647064297118e-01,2.707759343803101126e-01,3.499260653130612519e-01,4.323620743309256054e-01,3.510213580080989715e-01,2.185002837121270969e-01,6.278701189069412214e-01,2.656599640846170618e-01,3.706767889012285155e-01,2.062761715189115053e-01,2.488080376753306067e-01,2.767957478955377359e-01,2.439599856965932734e-01,2.131796559831812543e-01,1.718712682832908567e-01,3.667446519178909625e-01,2.505985253947877189e-01
3.565089497917062755e-01,9.950459038539757883e-02,5.033772224880568580e-02,5.505868638988919983e-02,1.125303115911860663e-01,2.129949617631156644e-01,3.012556252863671236e-01,3.769070564730016559e-01,3.183730876548718780e-01,2.092745546204823615e-01,3.552699359545091196e-01,3.410950437012481018e-01,3.872793745532959742e-01,3.612147847363511022e-01,2.296877527994315160e-01,5.349726690473431967e-01,3.245008837920920763e-01,3.630537685462889574e-01,2.215236060908384874e-01,1.733796440824072194e-01,2.766625551235740721e-01,2.238552684322732411e-01,2.647298846399468997e-01,1.948098725358061445e-01,4.872644377747959998e-01,3.156013983168496906e-01
4.185597011611082996e-01,1.019745520191227273e-01,5.424485379283883191e-02,5.485544404533841678e-02,7.577173790487660987e-02,1.756699797344193625e-01,2.844587179800555643e-01,3.573839264062490528e-01,3.854009602752920816e-01,2.120355414799223182e-01,4.430529200974753223e-01,3.000777476177017289e-01,3.608705969623408061e-01,3.680004215591726191e-01,2.623719764112163455e-01,4.927228882812549893e-01,3.865425376803447444e-01,3.805458007909387486e-01,2.029507096922014142e-01,1.733616310540467553e-01,2.465545453063057724e-01,2.076222953508513047e-01,2.773738087044829714e-01,2.472581871442120216e-01,5.266375901946659388e-01,3.504231953477869865e-01
